Date : 2023-01-25 14:49:04
Directory : c:\laragon\www\equizzy
Total : 145 files,  22494 codes, 504 comments, 1631 blanks, all 24629 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     15,362 |          0 |          4 |     15,366 |
| PHP        |         45 |      2,312 |        104 |        658 |      3,074 |
| CSS        |          1 |      1,778 |        131 |        105 |      2,014 |
| SCSS       |         40 |      1,698 |        149 |        346 |      2,193 |
| JavaScript |         45 |      1,251 |         95 |        501 |      1,847 |
| SQL        |          1 |         82 |         25 |         17 |        124 |
| XML        |          9 |         11 |          0 |          0 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        145 |     22,494 |        504 |      1,631 |     24,629 |
| . (Files)                                                                                                 |          7 |     15,599 |         39 |         50 |     15,688 |
| controllers                                                                                               |          9 |        598 |         35 |        380 |      1,013 |
| includes                                                                                                  |          3 |         32 |          3 |         12 |         47 |
| models                                                                                                    |          8 |        368 |         37 |        133 |        538 |
| public                                                                                                    |         33 |      2,484 |        205 |        405 |      3,094 |
| public (Files)                                                                                            |          1 |         51 |         16 |         17 |         84 |
| public\build                                                                                              |         32 |      2,433 |        189 |        388 |      3,010 |
| public\build\css                                                                                          |          1 |      1,778 |        131 |        105 |      2,014 |
| public\build\img                                                                                          |          5 |          7 |          0 |          0 |          7 |
| public\build\js                                                                                           |         26 |        648 |         58 |        283 |        989 |
| public\build\js (Files)                                                                                   |          6 |        123 |         11 |         37 |        171 |
| public\build\js\answers                                                                                   |          4 |         89 |          9 |         43 |        141 |
| public\build\js\crudOptionPolls                                                                           |          4 |        112 |          2 |         47 |        161 |
| public\build\js\crudOptionsQuestion                                                                       |          1 |          0 |          0 |          1 |          1 |
| public\build\js\crudQuestionPolls                                                                         |          6 |        234 |         29 |        109 |        372 |
| public\build\js\polls                                                                                     |          5 |         90 |          7 |         46 |        143 |
| src                                                                                                       |         62 |      2,243 |        185 |        554 |      2,982 |
| src\img                                                                                                   |          4 |          4 |          0 |          0 |          4 |
| src\js                                                                                                    |         18 |        541 |         36 |        208 |        785 |
| src\js (Files)                                                                                            |          5 |        122 |         11 |         37 |        170 |
| src\js\answers                                                                                            |          2 |         88 |          9 |         42 |        139 |
| src\js\crudOptionPolls                                                                                    |          4 |        112 |          2 |         47 |        161 |
| src\js\crudQuestionPolls                                                                                  |          4 |        158 |         12 |         55 |        225 |
| src\js\polls                                                                                              |          3 |         61 |          2 |         27 |         90 |
| src\scss                                                                                                  |         40 |      1,698 |        149 |        346 |      2,193 |
| src\scss (Files)                                                                                          |          1 |          4 |          1 |          1 |          6 |
| src\scss\admin                                                                                            |          2 |         50 |          1 |         10 |         61 |
| src\scss\base                                                                                             |          6 |        340 |        144 |        104 |        588 |
| src\scss\components                                                                                       |         11 |        435 |          0 |         55 |        490 |
| src\scss\indexPages                                                                                       |         20 |        869 |          3 |        176 |      1,048 |
| src\scss\indexPages (Files)                                                                               |          4 |        121 |          0 |         23 |        144 |
| src\scss\indexPages\categoriesPolls                                                                       |          3 |         92 |          0 |         20 |        112 |
| src\scss\indexPages\principalPagesPolls                                                                   |         13 |        656 |          3 |        133 |        792 |
| src\scss\indexPages\principalPagesPolls (Files)                                                           |          3 |        144 |          3 |         32 |        179 |
| src\scss\indexPages\principalPagesPolls\editPolls                                                         |          3 |        237 |          0 |         52 |        289 |
| src\scss\indexPages\principalPagesPolls\listMyPolls                                                       |          2 |         97 |          0 |         16 |        113 |
| src\scss\indexPages\principalPagesPolls\principalListPolls                                                |          2 |         24 |          0 |          5 |         29 |
| src\scss\indexPages\principalPagesPolls\publicPolls                                                       |          3 |        154 |          0 |         28 |        182 |
| views                                                                                                     |         23 |      1,170 |          0 |         97 |      1,267 |
| views (Files)                                                                                             |          4 |        236 |          0 |         13 |        249 |
| views\admin                                                                                               |          1 |         25 |          0 |          0 |         25 |
| views\categoryPolls                                                                                       |          3 |         59 |          0 |          5 |         64 |
| views\layouts                                                                                             |          4 |        210 |          0 |         24 |        234 |
| views\polls                                                                                               |          5 |        520 |          0 |         40 |        560 |
| views\principalPages                                                                                      |          2 |         43 |          0 |          0 |         43 |
| views\publicPolls                                                                                         |          2 |         56 |          0 |         11 |         67 |
| views\templates                                                                                           |          2 |         21 |          0 |          4 |         25 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\laragon\www\equizzy\Router.php                                                                         | PHP        |         93 |         13 |         19 |        125 |
| c:\laragon\www\equizzy\composer.json                                                                      | JSON       |         22 |          0 |          1 |         23 |
| c:\laragon\www\equizzy\composer.lock                                                                      | JSON       |        765 |          0 |          1 |        766 |
| c:\laragon\www\equizzy\controllers\AdminController.php                                                    | PHP        |         12 |          0 |          9 |         21 |
| c:\laragon\www\equizzy\controllers\CategoryPollController.php                                             | PHP        |         56 |          3 |         27 |         86 |
| c:\laragon\www\equizzy\controllers\IndexController.php                                                    | PHP        |         20 |          1 |         10 |         31 |
| c:\laragon\www\equizzy\controllers\LoginController.php                                                    | PHP        |         71 |          4 |         49 |        124 |
| c:\laragon\www\equizzy\controllers\OptionController.php                                                   | PHP        |         74 |          0 |         57 |        131 |
| c:\laragon\www\equizzy\controllers\PollsController.php                                                    | PHP        |        185 |         19 |        114 |        318 |
| c:\laragon\www\equizzy\controllers\PublicPollsController.php                                              | PHP        |         79 |          8 |         54 |        141 |
| c:\laragon\www\equizzy\controllers\QuestionController.php                                                 | PHP        |         89 |          0 |         52 |        141 |
| c:\laragon\www\equizzy\controllers\UserController.php                                                     | PHP        |         12 |          0 |          8 |         20 |
| c:\laragon\www\equizzy\equizzy.sql                                                                        | SQL        |         82 |         25 |         17 |        124 |
| c:\laragon\www\equizzy\gulpfile.js                                                                        | JavaScript |         62 |          1 |         10 |         73 |
| c:\laragon\www\equizzy\includes\app.php                                                                   | PHP        |          9 |          2 |          5 |         16 |
| c:\laragon\www\equizzy\includes\database.php                                                              | PHP        |          7 |          0 |          4 |         11 |
| c:\laragon\www\equizzy\includes\functions.php                                                             | PHP        |         16 |          1 |          3 |         20 |
| c:\laragon\www\equizzy\models\ActiveRecord.php                                                            | PHP        |        170 |         37 |         41 |        248 |
| c:\laragon\www\equizzy\models\Answer.php                                                                  | PHP        |         13 |          0 |          6 |         19 |
| c:\laragon\www\equizzy\models\CategoryPolls.php                                                           | PHP        |         24 |          0 |         13 |         37 |
| c:\laragon\www\equizzy\models\Option.php                                                                  | PHP        |         18 |          0 |          7 |         25 |
| c:\laragon\www\equizzy\models\Poll.php                                                                    | PHP        |         51 |          0 |         21 |         72 |
| c:\laragon\www\equizzy\models\Question.php                                                                | PHP        |         19 |          0 |         10 |         29 |
| c:\laragon\www\equizzy\models\RatePolls.php                                                               | PHP        |         14 |          0 |          9 |         23 |
| c:\laragon\www\equizzy\models\User.php                                                                    | PHP        |         59 |          0 |         26 |         85 |
| c:\laragon\www\equizzy\package-lock.json                                                                  | JSON       |     14,542 |          0 |          1 |     14,543 |
| c:\laragon\www\equizzy\package.json                                                                       | JSON       |         33 |          0 |          1 |         34 |
